id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
0,128,512,3,4,1,5,1000,concatenating previous CA expansion,0.7319118129711055,0.0390885229921482,0.80552578125,0.0359669645771443,2023-10-11 11:34:52.290603
1,128,512,3,4,2,5,1000,concatenating previous CA expansion,0.7727493777481156,0.0203488962737455,0.830705078125,0.0196879223006233,2023-10-11 11:35:23.461770
2,128,512,3,4,3,5,1000,concatenating previous CA expansion,0.6105024144158292,0.0403600031319919,0.73671015625,0.0378937730570475,2023-10-11 11:35:56.059651
3,128,512,3,4,4,5,1000,concatenating previous CA expansion,0.7710412452889447,0.0257404639685306,0.830746875,0.0245446788980225,2023-10-11 11:36:24.048721
4,128,512,3,4,5,5,1000,concatenating previous CA expansion,0.6122557710427136,0.0397967909349649,0.73778828125,0.0372994256678486,2023-10-11 11:36:52.377540
5,128,512,3,4,6,5,1000,concatenating previous CA expansion,0.6539770316425879,0.0269134596381844,0.757669140625,0.0252777246864888,2023-10-11 11:37:20.569099
6,128,512,3,4,7,5,1000,concatenating previous CA expansion,0.528070663866206,0.0435445543708486,0.698755859375,0.0407094989142505,2023-10-11 11:37:53.585761
7,128,512,3,4,8,5,1000,concatenating previous CA expansion,0.840463132066583,0.0125680348944076,0.89149609375,0.0121460325945588,2023-10-11 11:38:23.434165
8,128,512,3,4,9,5,1000,concatenating previous CA expansion,0.5711920127983668,0.0274275657674974,0.718993359375,0.0268545720617346,2023-10-11 11:38:56.153050
9,128,512,3,4,10,5,1000,concatenating previous CA expansion,0.6492182396356784,0.0290356719833356,0.754978125,0.0291105545671502,2023-10-11 11:39:26.405154
10,128,512,3,4,11,5,1000,concatenating previous CA expansion,0.5214886443938442,0.0387236596681696,0.696812890625,0.0371569631527669,2023-10-11 11:39:56.242477
11,128,512,3,4,12,5,1000,concatenating previous CA expansion,0.6490554177135678,0.0292740540067223,0.75493671875,0.0295034409303965,2023-10-11 11:40:25.182249
12,128,512,3,4,13,5,1000,concatenating previous CA expansion,0.5209328812028895,0.0422618507876323,0.696037890625,0.0405167136868499,2023-10-11 11:40:54.495651
13,128,512,3,4,14,5,1000,concatenating previous CA expansion,0.5274571823963567,0.0352812110629463,0.698770703125,0.0338306269620915,2023-10-11 11:41:23.662019
14,128,512,3,4,15,5,1000,concatenating previous CA expansion,0.4999038316582914,0.0442496171922897,0.68724375,0.0407627803003242,2023-10-11 11:41:57.083910
15,128,512,3,4,16,5,1000,concatenating previous CA expansion,0.772207669205402,0.0200130007190937,0.830672265625,0.0198417950831773,2023-10-11 11:42:26.055700
16,128,512,3,4,17,5,1000,concatenating previous CA expansion,0.6122532977386934,0.0399771735060295,0.7378921875,0.0371907372540529,2023-10-11 11:42:55.376239
17,128,512,3,4,18,5,1000,concatenating previous CA expansion,0.6346760953203517,0.0265065781271554,0.748278125,0.024908491998369,2023-10-11 11:43:25.966514
18,128,512,3,4,19,5,1000,concatenating previous CA expansion,0.5311919244660804,0.0475103318437854,0.7002578125,0.0443949297785125,2023-10-11 11:44:01.388994
19,128,512,3,4,20,5,1000,concatenating previous CA expansion,0.6532044715766332,0.0267891959617522,0.7573859375,0.0256540646431485,2023-10-11 11:44:38.105001
20,128,512,3,4,21,5,1000,concatenating previous CA expansion,0.5282753022927136,0.0435747332849706,0.69916484375,0.0414914015279893,2023-10-11 11:45:10.804519
21,128,512,3,4,22,5,1000,concatenating previous CA expansion,0.5477389545383166,0.0239792243269547,0.707416015625,0.0219649544661701,2023-10-11 11:45:43.525037
