rule,difference_base,seed,benchmark,classifier,baseline
1,0.0016835016835016,257889270,digits,SVM Linear,
2,-0.0151515151515152,257889270,digits,SVM Linear,
3,0.0033670033670033,257889270,digits,SVM Linear,
4,0.0117845117845117,257889270,digits,SVM Linear,
5,-0.0101010101010101,257889270,digits,SVM Linear,
6,-0.005050505050505,257889270,digits,SVM Linear,
7,-0.0134680134680135,257889270,digits,SVM Linear,
8,0.0016835016835016,257889270,digits,SVM Linear,
9,-0.0016835016835017,257889270,digits,SVM Linear,
10,-0.0117845117845117,257889270,digits,SVM Linear,
11,0.0117845117845117,257889270,digits,SVM Linear,
12,0.0050505050505049,257889270,digits,SVM Linear,
13,0.0016835016835016,257889270,digits,SVM Linear,
14,0.0016835016835016,257889270,digits,SVM Linear,
15,-0.0134680134680135,257889270,digits,SVM Linear,
18,-0.0117845117845117,257889270,digits,SVM Linear,
19,-0.0033670033670034,257889270,digits,SVM Linear,
22,0.01010101010101,257889270,digits,SVM Linear,
23,-0.0101010101010101,257889270,digits,SVM Linear,
24,0.0050505050505049,257889270,digits,SVM Linear,
25,0.0067340067340067,257889270,digits,SVM Linear,
26,0.0,257889270,digits,SVM Linear,
27,0.0185185185185184,257889270,digits,SVM Linear,
28,-0.0084175084175084,257889270,digits,SVM Linear,
29,0.0016835016835016,257889270,digits,SVM Linear,
30,0.0016835016835016,257889270,digits,SVM Linear,
32,0.0050505050505049,257889270,digits,SVM Linear,
33,-0.0016835016835017,257889270,digits,SVM Linear,
34,0.0050505050505049,257889270,digits,SVM Linear,
35,0.0084175084175083,257889270,digits,SVM Linear,
36,0.0117845117845117,257889270,digits,SVM Linear,
37,0.0134680134680134,257889270,digits,SVM Linear,
38,0.0050505050505049,257889270,digits,SVM Linear,
40,-0.005050505050505,257889270,digits,SVM Linear,
41,-0.0033670033670034,257889270,digits,SVM Linear,
42,-0.0016835016835017,257889270,digits,SVM Linear,
43,0.0084175084175083,257889270,digits,SVM Linear,
44,-0.0084175084175084,257889270,digits,SVM Linear,
45,0.0016835016835016,257889270,digits,SVM Linear,
46,-0.0033670033670034,257889270,digits,SVM Linear,
50,0.0,257889270,digits,SVM Linear,
51,-0.0134680134680135,257889270,digits,SVM Linear,
54,0.0050505050505049,257889270,digits,SVM Linear,
56,0.0,257889270,digits,SVM Linear,
57,-0.0016835016835017,257889270,digits,SVM Linear,
58,-0.0067340067340068,257889270,digits,SVM Linear,
60,0.0067340067340067,257889270,digits,SVM Linear,
62,0.0016835016835016,257889270,digits,SVM Linear,
72,-0.0151515151515152,257889270,digits,SVM Linear,
73,0.0016835016835016,257889270,digits,SVM Linear,
